Reporter,Partner,Commodity Description,Category,Year,Commodity Code,Trade Value (US$) E,Net Weight (kg) Export,Qty (kg) Export,Trade Value (US$) I,Net Weight (kg) Import,Qty (kg) Import,Trade Balance (US$),Total Trade (US$)
kenya ,Uganda,Tea,Agriculture,2015,902,"392,821","118,435","118,435","6,833,035","5,891,471","5,891,471","6,440,214","7,225,856"
kenya ,Uganda,Tea,Agriculture,2016,902,"82,219","16,576.30","16,576","4,804,489","3,932,751","3,932,751","4,722,270","4,886,708"
kenya ,Uganda,Tea,Agriculture,2017,902,"109,648","23,676","23,676","7,581,249","5,057,849","5,057,871","7,471,601","7,690,897"
kenya ,Uganda,Tea,Agriculture,2018,902,"220,240","51,189.20","51,189","10,498,399","7,020,465","7,020,465","10,278,159","10,718,639"
Kenay ,Uganda,Tea,Agriculture,2019,902,"230,389","39,115.60","39,116","5,713,205","6,005,000","6,005,000","5,482,816","5,943,594"
Kenya ,Uganda,Tea,Agriculture,2020,902,"245,474","35,293","35,293","5,901,866","5,967,011","5,967,011","5,656,392","6,147,340"
Kenya ,Uganda,Tea,Agriculture,2021,902,"313,594","56,577.50","56,577","5,543,058","5,004,256","5,004,256","5,229,464","5,856,652"
kenya ,Uganda,Tea,Agriculture,2022,902,"307,761","53,840.40","53,840","2,163,494","2,125,376","2,125,376","1,855,733","2,471,255"
kenya ,Uganda,Tea,Agriculture,2023,902,"423,690","81,799.60","81,800","2,527,870","2,672,823","2,671,643","2,104,180","2,951,560"
kenya ,Uganda,Tea,Agriculture,2024,902,"508,590","133,743.80","133,744","512,225","483,456.50","483,457","3,635","1,020,815"
Kenay ,Uganda,Coffee,Agriculture,2015,901,"29,546","6,035","6,035","234,284","57,600","57,600","228,249","263,830"
Kenya ,Uganda,Coffee,Agriculture,2016,901,"29,546","6,035.40","6,035",_,_,_,_,
Kenya ,Uganda,Coffee,Agriculture,2017,901,"8,779","3,414.60","3,415","1,172,076","379,920","379,920","1,168,661.40","1,180,855"
kenya ,Uganda,Coffee,Agriculture,2018,901,"10,463","1,773.70","1,774","1,459,842","466,000","466,000","1,449,379","1,470,305"
kenya ,Uganda,Coffee,Agriculture,2019,901,"4,739",716.9,717,717,"1,409,572","520,920","1,239,915","5,456"
kenya ,Uganda,Coffee,Agriculture,2020,901,"169,657","101,524","101,524","2,038,768","737,153","737,153","1,869,111","2,208,425"
Kenya ,Uganda,Coffee,Agriculture,2021,901,"129,252","43,565.20","43,565","3,601,994","1,034,842","1,034,842","3,472,742","3,731,246"
Kenya ,Uganda,Coffee,Agriculture,2022,901,"7,799",874.2,874,"3,061,141","656,361.60","656,362","3,053,342","3,068,940"
kenya ,Uganda,Coffee,Agriculture,2023,901,"8,613","3,446","3,446","3,040,943","792,994","792,994","3,032,330","3,049,556"
kenya ,Uganda,Coffee,Agriculture,2024,901,"13,813","1,164.60","1,165","3,904,225","803,068.50","803,069","3,890,412","3,918,038"
kenya ,Uganda,Petroleum products,Energy,2015,2710,"55,612,200","40,709,595.50","40,709,596",_,_,_,_,#VALUE!
kenya ,Uganda,Petroleum products,Energy,2016,2710,"52,682,176","75,364,390","75,364,390","1,379","1,000","1,000","-52,680,797","52,683,555"
kenya ,Uganda,Petroleum products,Energy,2017,2710,"46,923,238","51,155,144.50","51,155,145",_,_,_,_,
kenya ,Uganda,Petroleum products,Energy,2018,2710,"43,183,060","34,574,199.60","34,574,200","100,245","49,434","49,434","-43,082,815","43,283,305"
kenya ,Uganda,Petroleum products,Energy,2019,2710,"36,054,790","21,875,072","21,875,072","256,196","113,104","113,104","-35,798,594","36,310,986"
kenya ,Uganda,Petroleum products,Energy,2020,2710,"34,429,136","17,880,431","17,880,431","599,740","307,238","307,238","-33,829,396","35,028,876"
kenya ,Uganda,Petroleum products,Energy,2021,2710,"38,486,039","20,030,950.60","20,030,951","759,829","367,785.30","367,785","-37,726,210","39,245,868"
kenya ,Uganda,Petroleum products,Energy,2022,2710,"44,510,666","18,362,231.20","18,362,231","85,006","25,809","25,809","-44,425,660","44,595,672"
kenya ,Uganda,Petroleum products,Energy,2023,2710,"52,199,386","23,825,452.30","23,825,452","128,259","77,410","77,410","-52,071,127","52,327,645"
kenya ,Uganda,Petroleum products,Energy,2024,2710,"62,750,909","32,007,049.30","32,007,049","374,590","242,668","242,668","-62,376,319","63,125,499"
kenya ,Uganda,Cement,Manufacturing,2015,2523,"374,590","242,668","242,668",_,_,_,_,
kenya ,Uganda,Cement,Manufacturing,2016,2523,"33,483,317","347,702,400","347,702,400",_,_,_,_,
kenya ,Uganda,Cement,Manufacturing,2017,2523,"28,772,181","372,845,500","372,845,500",_,_,_,_,
kenya ,Uganda,Cement,Manufacturing,2018,2523,"9,164,049","132,892,250","132,892,250",753,250,250,"-9,163,296","9,164,802"
kenya ,Uganda,Cement,Manufacturing,2019,2523,"6,664,285","94,077,700","94,077,700","28,754","85,500","85,500","-6,635,531","6,693,039"
kenya ,Uganda,Cement,Manufacturing,2020,2523,"16,151,450","279,562,821","279,562,821",_,_,_,_,
kenya ,Uganda,Cement,Manufacturing,2021,2523,"91,682,796","1,563,442,380","1,563,442,380",_,_,_,_,
kenya ,Uganda,Cement,Manufacturing,2022,2523,"70,131,624","948,282,900","948,282,900",_,_,_,_,
kenya ,Uganda,Cement,Manufacturing,2023,2523,"118,705,978","2,011,384,040","2,011,384,040",2000,250,250,"-118,703,978","118,707,978"
kenya ,Uganda,Cement,Manufacturing,2024,2523,"106,471,399","1,681,747,900","1,681,747,900",_,_,_,_,
kenya ,Tanzania,Pharmaceuticals,Manufacturing,2015,3004,"25,489,424","3,579,530","3,579,530","52,766","3,559","3,559","-25,436,658","25,542,190"
